xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-1.0 m/s-VLM2
Freestream speed :, 1.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.200,     0.000,  -0.577337,   0.015781,   0.016367,   0.032148,   0.000000,  -0.000000,   0.470091,  -0.000000,   0.000000,    1.0000,    0.4108
   -8.000,     0.000,  -0.563454,   0.015033,   0.016001,   0.031033,   0.000000,  -0.000000,   0.458872,  -0.000000,   0.000000,    1.0000,    0.4107
   -7.800,     0.000,  -0.549557,   0.014302,   0.015888,   0.030189,   0.000000,  -0.000000,   0.447675,  -0.000000,  -0.000000,    1.0000,    0.4106
   -7.600,     0.000,  -0.535646,   0.013588,   0.016210,   0.029798,   0.000000,  -0.000000,   0.436560,  -0.000000,  -0.000000,    1.0000,    0.4106
   -7.400,     0.000,  -0.521721,   0.012893,   0.015410,   0.028302,   0.000000,  -0.000000,   0.425201,  -0.000000,  -0.000000,    1.0000,    0.4105
   -7.200,     0.000,  -0.507782,   0.012214,   0.015297,   0.027511,   0.000000,  -0.000000,   0.413960,  -0.000000,   0.000000,    1.0000,    0.4104
   -7.000,     0.000,  -0.493830,   0.011553,   0.014673,   0.026226,   0.000000,  -0.000000,   0.402604,  -0.000000,  -0.000000,    1.0000,    0.4104
   -6.800,     0.000,  -0.479865,   0.010910,   0.014113,   0.025024,   0.000000,  -0.000000,   0.391248,  -0.000000,   0.000000,    1.0000,    0.4103
   -6.600,     0.000,  -0.465888,   0.010285,   0.013711,   0.023996,   0.000000,  -0.000000,   0.379897,  -0.000000,  -0.000000,    1.0000,    0.4102
   -6.400,     0.000,  -0.451898,   0.009677,   0.013289,   0.022966,   0.000000,  -0.000000,   0.368530,  -0.000000,  -0.000000,    1.0000,    0.4102
   -6.200,     0.000,  -0.437897,   0.009088,   0.012901,   0.021989,   0.000000,  -0.000000,   0.357153,  -0.000000,  -0.000000,    1.0000,    0.4101
   -6.000,     0.000,  -0.423884,   0.008516,   0.012576,   0.021092,   0.000000,  -0.000000,   0.345768,  -0.000000,  -0.000000,    1.0000,    0.4101
   -5.800,     0.000,  -0.409860,   0.007963,   0.012222,   0.020185,   0.000000,  -0.000000,   0.334367,  -0.000000,  -0.000000,    1.0000,    0.4100
   -5.600,     0.000,  -0.395826,   0.007427,   0.011935,   0.019363,   0.000000,   0.000000,   0.322957,  -0.000000,  -0.000000,    1.0000,    0.4099
   -5.400,     0.000,  -0.381781,   0.006910,   0.011678,   0.018589,   0.000000,  -0.000000,   0.311536,  -0.000000,  -0.000000,    1.0000,    0.4099
   -5.200,     0.000,  -0.367726,   0.006411,   0.011507,   0.017918,   0.000000,  -0.000000,   0.300108,  -0.000000,  -0.000000,    1.0000,    0.4098
   -5.000,     0.000,  -0.353662,   0.005931,   0.011246,   0.017177,   0.000000,   0.000000,   0.288660,  -0.000000,  -0.000000,    1.0000,    0.4098
   -4.800,     0.000,  -0.339588,   0.005468,   0.010961,   0.016430,   0.000000,  -0.000000,   0.277200,  -0.000000,   0.000000,    1.0000,    0.4097
   -4.600,     0.000,  -0.325505,   0.005025,   0.010682,   0.015706,   0.000000,  -0.000000,   0.265727,  -0.000000,  -0.000000,    1.0000,    0.4097
   -4.400,     0.000,  -0.311414,   0.004599,   0.010396,   0.014995,   0.000000,  -0.000000,   0.254243,  -0.000000,  -0.000000,    1.0000,    0.4097
   -4.200,     0.000,  -0.297315,   0.004193,   0.010158,   0.014351,   0.000000,  -0.000000,   0.242754,  -0.000000,  -0.000000,    1.0000,    0.4096
   -4.000,     0.000,  -0.283208,   0.003804,   0.010048,   0.013852,   0.000000,  -0.000000,   0.231264,  -0.000000,  -0.000000,    1.0000,    0.4096
   -3.800,     0.000,  -0.269093,   0.003435,   0.009870,   0.013304,   0.000000,  -0.000000,   0.219759,   0.000000,   0.000000,    1.0000,    0.4095
   -3.600,     0.000,  -0.254972,   0.003084,   0.009729,   0.012813,   0.000000,  -0.000000,   0.208247,   0.000000,  -0.000000,    1.0000,    0.4095
   -3.400,     0.000,  -0.240844,   0.002752,   0.009568,   0.012320,   0.000000,  -0.000000,   0.196724,  -0.000000,   0.000000,    1.0000,    0.4095
   -3.200,     0.000,  -0.226709,   0.002438,   0.009453,   0.011891,   0.000000,  -0.000000,   0.185195,   0.000000,   0.000000,    1.0000,    0.4094
   -3.000,     0.000,  -0.212569,   0.002144,   0.009411,   0.011555,   0.000000,  -0.000000,   0.173663,   0.000000,  -0.000000,    1.0000,    0.4094
   -2.800,     0.000,  -0.198423,   0.001868,   0.009318,   0.011186,   0.000000,  -0.000000,   0.162119,   0.000000,  -0.000000,    1.0000,    0.4094
   -2.600,     0.000,  -0.184271,   0.001611,   0.009345,   0.010956,   0.000000,  -0.000000,   0.150574,   0.000000,  -0.000000,    1.0000,    0.4093
   -2.400,     0.000,  -0.170115,   0.001373,   0.009279,   0.010652,   0.000000,  -0.000000,   0.139017,   0.000000,   0.000000,    1.0000,    0.4093
