xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-1.2 m/s-VLM2
Freestream speed :, 1.2 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.600,     0.000,  -0.605056,   0.017328,   0.016117,   0.033445,   0.000000,  -0.000000,   0.492338,  -0.000000,  -0.000000,    1.2000,    0.4110
   -8.400,     0.000,  -0.591204,   0.016546,   0.015460,   0.032006,   0.000000,  -0.000000,   0.481114,  -0.000000,  -0.000000,    1.2000,    0.4109
   -8.200,     0.000,  -0.577337,   0.015781,   0.015354,   0.031135,   0.000000,  -0.000000,   0.469958,  -0.000000,   0.000000,    1.2000,    0.4108
   -8.000,     0.000,  -0.563454,   0.015033,   0.015355,   0.030387,   0.000000,  -0.000000,   0.458801,  -0.000000,  -0.000000,    1.2000,    0.4107
   -7.800,     0.000,  -0.549557,   0.014302,   0.014991,   0.029293,   0.000000,  -0.000000,   0.447574,  -0.000000,   0.000000,    1.2000,    0.4106
   -7.600,     0.000,  -0.535646,   0.013588,   0.014708,   0.028297,   0.000000,  -0.000000,   0.436336,  -0.000000,  -0.000000,    1.2000,    0.4106
   -7.400,     0.000,  -0.521721,   0.012893,   0.014338,   0.027230,   0.000000,  -0.000000,   0.425072,  -0.000000,  -0.000000,    1.2000,    0.4105
   -7.200,     0.000,  -0.507782,   0.012214,   0.014088,   0.026302,   0.000000,  -0.000000,   0.413805,  -0.000000,   0.000000,    1.2000,    0.4104
   -7.000,     0.000,  -0.493830,   0.011553,   0.013602,   0.025156,   0.000000,  -0.000000,   0.402476,  -0.000000,  -0.000000,    1.2000,    0.4104
   -6.800,     0.000,  -0.479865,   0.010910,   0.013194,   0.024104,   0.000000,  -0.000000,   0.391143,  -0.000000,   0.000000,    1.2000,    0.4103
   -6.600,     0.000,  -0.465888,   0.010285,   0.012821,   0.023106,   0.000000,  -0.000000,   0.379798,  -0.000000,  -0.000000,    1.2000,    0.4102
   -6.400,     0.000,  -0.451898,   0.009677,   0.012454,   0.022131,   0.000000,  -0.000000,   0.368441,  -0.000000,  -0.000000,    1.2000,    0.4102
   -6.200,     0.000,  -0.437897,   0.009088,   0.012139,   0.021227,   0.000000,  -0.000000,   0.357075,  -0.000000,  -0.000000,    1.2000,    0.4101
   -6.000,     0.000,  -0.423884,   0.008516,   0.011849,   0.020365,   0.000000,  -0.000000,   0.345697,  -0.000000,  -0.000000,    1.2000,    0.4101
   -5.800,     0.000,  -0.409860,   0.007963,   0.011571,   0.019534,   0.000000,  -0.000000,   0.334305,  -0.000000,  -0.000000,    1.2000,    0.4100
   -5.600,     0.000,  -0.395826,   0.007427,   0.011300,   0.018728,   0.000000,   0.000000,   0.322900,  -0.000000,  -0.000000,    1.2000,    0.4099
   -5.400,     0.000,  -0.381781,   0.006910,   0.011087,   0.017997,   0.000000,  -0.000000,   0.311488,  -0.000000,  -0.000000,    1.2000,    0.4099
   -5.200,     0.000,  -0.367726,   0.006411,   0.010849,   0.017260,   0.000000,  -0.000000,   0.300059,  -0.000000,  -0.000000,    1.2000,    0.4098
   -5.000,     0.000,  -0.353662,   0.005931,   0.010607,   0.016538,   0.000000,   0.000000,   0.288616,  -0.000000,  -0.000000,    1.2000,    0.4098
   -4.800,     0.000,  -0.339588,   0.005468,   0.010451,   0.015919,   0.000000,  -0.000000,   0.277166,  -0.000000,   0.000000,    1.2000,    0.4097
   -4.600,     0.000,  -0.325505,   0.005025,   0.010171,   0.015195,   0.000000,  -0.000000,   0.265694,  -0.000000,  -0.000000,    1.2000,    0.4097
   -4.400,     0.000,  -0.311414,   0.004599,   0.009973,   0.014572,   0.000000,  -0.000000,   0.254220,  -0.000000,  -0.000000,    1.2000,    0.4097
   -4.200,     0.000,  -0.297315,   0.004193,   0.009759,   0.013951,   0.000000,  -0.000000,   0.242733,  -0.000000,  -0.000000,    1.2000,    0.4096
   -4.000,     0.000,  -0.283208,   0.003804,   0.009579,   0.013383,   0.000000,  -0.000000,   0.231239,  -0.000000,  -0.000000,    1.2000,    0.4096
   -3.800,     0.000,  -0.269093,   0.003435,   0.009471,   0.012906,   0.000000,  -0.000000,   0.219741,   0.000000,   0.000000,    1.2000,    0.4095
   -3.600,     0.000,  -0.254972,   0.003084,   0.009331,   0.012415,   0.000000,  -0.000000,   0.208229,  -0.000000,  -0.000000,    1.2000,    0.4095
   -3.400,     0.000,  -0.240844,   0.002752,   0.009196,   0.011948,   0.000000,  -0.000000,   0.196709,   0.000000,   0.000000,    1.2000,    0.4095
   -3.200,     0.000,  -0.226709,   0.002438,   0.009064,   0.011502,   0.000000,  -0.000000,   0.185180,  -0.000000,   0.000000,    1.2000,    0.4094
   -3.000,     0.000,  -0.212569,   0.002144,   0.008964,   0.011108,   0.000000,  -0.000000,   0.173645,  -0.000000,  -0.000000,    1.2000,    0.4094
   -2.800,     0.000,  -0.198423,   0.001868,   0.008965,   0.010833,   0.000000,  -0.000000,   0.162109,   0.000000,  -0.000000,    1.2000,    0.4094
   -2.600,     0.000,  -0.184271,   0.001611,   0.008851,   0.010462,   0.000000,  -0.000000,   0.150557,   0.000000,  -0.000000,    1.2000,    0.4093
   -2.400,     0.000,  -0.170115,   0.001373,   0.008779,   0.010152,   0.000000,  -0.000000,   0.139001,   0.000000,   0.000000,    1.2000,    0.4093
   -2.200,     0.000,  -0.155955,   0.001154,   0.008769,   0.009923,   0.000000,  -0.000000,   0.127442,   0.000000,   0.000000,    1.2000,    0.4093
   -2.000,     0.000,  -0.141790,   0.000954,   0.008706,   0.009660,   0.000000,  -0.000000,   0.115874,   0.000000,  -0.000000,    1.2000,    0.4093
   -1.800,     0.000,  -0.127622,   0.000773,   0.008682,   0.009455,   0.000000,  -0.000000,   0.104302,   0.000000,   0.000000,    1.2000,    0.4093
   -1.600,     0.000,  -0.113450,   0.000611,   0.008627,   0.009238,   0.000000,  -0.000000,   0.092724,   0.000000,  -0.000000,    1.2000,    0.4092
   -1.400,     0.000,  -0.099275,   0.000468,   0.008627,   0.009095,   0.000000,  -0.000000,   0.081144,   0.000000,  -0.000000,    1.2000,    0.4092
   -1.200,     0.000,  -0.085098,   0.000344,   0.008563,   0.008906,   0.000000,  -0.000000,   0.069557,   0.000000,  -0.000000,    1.2000,    0.4092
   -1.000,     0.000,  -0.070918,   0.000239,   0.008570,   0.008809,   0.000000,  -0.000000,   0.057970,  -0.000000,  -0.000000,    1.2000,    0.4092
   -0.800,     0.000,  -0.056737,   0.000153,   0.008578,   0.008731,   0.000000,  -0.000000,   0.046380,  -0.000000,  -0.000000,    1.2000,    0.4092
   -0.600,     0.000,  -0.042554,   0.000086,   0.008539,   0.008625,   0.000000,  -0.000000,   0.034786,  -0.000000,  -0.000000,    1.2000,    0.4092
   -0.400,     0.000,  -0.028370,   0.000038,   0.008515,   0.008553,   0.000000,  -0.000000,   0.023191,  -0.000000,   0.000000,    1.2000,    0.4092
   -0.200,     0.000,  -0.014185,   0.000010,   0.008513,   0.008523,   0.000000,  -0.000000,   0.011596,  -0.000000,   0.000000,    1.2000,    0.4092
    0.000,     0.000,   0.000000,   0.000000,   0.008439,   0.008439,   0.000000,   0.000000,   0.000000,  -0.000000,   0.000000,    1.2000,    0.0000
    0.200,     0.000,   0.014185,   0.000010,   0.008513,   0.008523,   0.000000,   0.000000,  -0.011596,  -0.000000,   0.000000,    1.2000,    0.4092
    0.400,     0.000,   0.028370,   0.000038,   0.008514,   0.008553,   0.000000,   0.000000,  -0.023191,  -0.000000,  -0.000000,    1.2000,    0.4092
    0.600,     0.000,   0.042554,   0.000086,   0.008539,   0.008625,   0.000000,   0.000000,  -0.034786,  -0.000000,  -0.000000,    1.2000,    0.4092
    0.800,     0.000,   0.056737,   0.000153,   0.008578,   0.008731,   0.000000,   0.000000,  -0.046380,  -0.000000,  -0.000000,    1.2000,    0.4092
    1.000,     0.000,   0.070918,   0.000239,   0.008571,   0.008809,   0.000000,   0.000000,  -0.057970,  -0.000000,  -0.000000,    1.2000,    0.4092
    1.200,     0.000,   0.085098,   0.000344,   0.008564,   0.008907,   0.000000,   0.000000,  -0.069557,   0.000000,  -0.000000,    1.2000,    0.4092
    1.400,     0.000,   0.099275,   0.000468,   0.008627,   0.009095,   0.000000,   0.000000,  -0.081144,   0.000000,  -0.000000,    1.2000,    0.4092
    1.600,     0.000,   0.113450,   0.000611,   0.008627,   0.009238,   0.000000,   0.000000,  -0.092724,   0.000000,  -0.000000,    1.2000,    0.4092
    1.800,     0.000,   0.127622,   0.000773,   0.008682,   0.009455,   0.000000,   0.000000,  -0.104302,   0.000000,   0.000000,    1.2000,    0.4093
    2.000,     0.000,   0.141790,   0.000954,   0.008706,   0.009660,   0.000000,   0.000000,  -0.115874,   0.000000,  -0.000000,    1.2000,    0.4093
    2.200,     0.000,   0.155955,   0.001154,   0.008769,   0.009923,   0.000000,   0.000000,  -0.127442,   0.000000,   0.000000,    1.2000,    0.4093
    2.400,     0.000,   0.170115,   0.001373,   0.008780,   0.010153,   0.000000,   0.000000,  -0.139001,   0.000000,  -0.000000,    1.2000,    0.4093
    2.600,     0.000,   0.184271,   0.001611,   0.008852,   0.010463,   0.000000,   0.000000,  -0.150557,   0.000000,  -0.000000,    1.2000,    0.4093
    2.800,     0.000,   0.198423,   0.001868,   0.008965,   0.010833,   0.000000,   0.000000,  -0.162109,   0.000000,  -0.000000,    1.2000,    0.4094
    3.000,     0.000,   0.212569,   0.002144,   0.008965,   0.011108,   0.000000,   0.000000,  -0.173645,  -0.000000,  -0.000000,    1.2000,    0.4094
    3.200,     0.000,   0.226709,   0.002438,   0.009064,   0.011502,   0.000000,   0.000000,  -0.185180,  -0.000000,   0.000000,    1.2000,    0.4094
