xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-0.8 m/s-VLM2
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.563454,   0.015033,   0.017040,   0.032072,   0.000000,  -0.000000,   0.459039,  -0.000000,   0.000000,    0.8000,    0.4107
   -7.800,     0.000,  -0.549557,   0.014302,   0.016847,   0.031149,   0.000000,  -0.000000,   0.447818,  -0.000000,  -0.000000,    0.8000,    0.4106
   -7.600,     0.000,  -0.535646,   0.013588,   0.016472,   0.030060,   0.000000,  -0.000000,   0.436562,  -0.000000,   0.000000,    0.8000,    0.4106
   -7.400,     0.000,  -0.521721,   0.012893,   0.016874,   0.029767,   0.000000,  -0.000000,   0.425432,  -0.000000,  -0.000000,    0.8000,    0.4105
   -7.200,     0.000,  -0.507782,   0.012214,   0.016419,   0.028633,   0.000000,  -0.000000,   0.414128,  -0.000000,   0.000000,    0.8000,    0.4104
   -7.000,     0.000,  -0.493830,   0.011553,   0.015397,   0.026950,   0.000000,  -0.000000,   0.402699,  -0.000000,  -0.000000,    0.8000,    0.4104
   -6.800,     0.000,  -0.479865,   0.010910,   0.014852,   0.025763,   0.000000,  -0.000000,   0.391342,  -0.000000,   0.000000,    0.8000,    0.4103
   -6.600,     0.000,  -0.465888,   0.010285,   0.014349,   0.024634,   0.000000,  -0.000000,   0.379978,  -0.000000,  -0.000000,    0.8000,    0.4102
   -6.400,     0.000,  -0.451898,   0.009677,   0.013943,   0.023620,   0.000000,  -0.000000,   0.368609,  -0.000000,  -0.000000,    0.8000,    0.4102
   -6.200,     0.000,  -0.437897,   0.009088,   0.013482,   0.022570,   0.000000,  -0.000000,   0.357224,  -0.000000,  -0.000000,    0.8000,    0.4101
   -6.000,     0.000,  -0.423884,   0.008516,   0.013204,   0.021721,   0.000000,  -0.000000,   0.345838,  -0.000000,  -0.000000,    0.8000,    0.4101
   -5.800,     0.000,  -0.409860,   0.007963,   0.012956,   0.020918,   0.000000,  -0.000000,   0.334441,  -0.000000,  -0.000000,    0.8000,    0.4100
   -5.600,     0.000,  -0.395826,   0.007427,   0.012653,   0.020081,   0.000000,   0.000000,   0.323027,  -0.000000,  -0.000000,    0.8000,    0.4099
   -5.400,     0.000,  -0.381781,   0.006910,   0.012335,   0.019246,   0.000000,  -0.000000,   0.311599,  -0.000000,  -0.000000,    0.8000,    0.4099
   -5.200,     0.000,  -0.367726,   0.006411,   0.011993,   0.018404,   0.000000,  -0.000000,   0.300156,  -0.000000,  -0.000000,    0.8000,    0.4098
   -5.000,     0.000,  -0.353662,   0.005931,   0.011646,   0.017577,   0.000000,   0.000000,   0.288701,  -0.000000,  -0.000000,    0.8000,    0.4098
   -4.800,     0.000,  -0.339588,   0.005468,   0.011275,   0.016744,   0.000000,  -0.000000,   0.277230,  -0.000000,   0.000000,    0.8000,    0.4097
   -4.600,     0.000,  -0.325505,   0.005025,   0.011053,   0.016078,   0.000000,  -0.000000,   0.265762,  -0.000000,   0.000000,    0.8000,    0.4097
   -4.400,     0.000,  -0.311414,   0.004599,   0.010781,   0.015380,   0.000000,  -0.000000,   0.254279,  -0.000000,  -0.000000,    0.8000,    0.4097
   -4.200,     0.000,  -0.297315,   0.004193,   0.010535,   0.014727,   0.000000,  -0.000000,   0.242788,  -0.000000,  -0.000000,    0.8000,    0.4096
   -4.000,     0.000,  -0.283208,   0.003804,   0.010289,   0.014093,   0.000000,  -0.000000,   0.231286,  -0.000000,  -0.000000,    0.8000,    0.4096
   -3.800,     0.000,  -0.269093,   0.003435,   0.010067,   0.013502,   0.000000,  -0.000000,   0.219776,  -0.000000,  -0.000000,    0.8000,    0.4095
   -3.600,     0.000,  -0.254972,   0.003084,   0.010070,   0.013154,   0.000000,  -0.000000,   0.208272,   0.000000,  -0.000000,    0.8000,    0.4095
   -3.400,     0.000,  -0.240844,   0.002752,   0.009968,   0.012720,   0.000000,   0.000000,   0.196752,   0.000000,   0.000000,    0.8000,    0.4095
   -3.200,     0.000,  -0.226709,   0.002438,   0.009986,   0.012425,   0.000000,  -0.000000,   0.185230,   0.000000,  -0.000000,    0.8000,    0.4094
   -3.000,     0.000,  -0.212569,   0.002144,   0.009786,   0.011929,   0.000000,  -0.000000,   0.173686,  -0.000000,  -0.000000,    0.8000,    0.4094
   -2.800,     0.000,  -0.198423,   0.001868,   0.009640,   0.011508,   0.000000,  -0.000000,   0.162137,  -0.000000,  -0.000000,    0.8000,    0.4094
   -2.600,     0.000,  -0.184271,   0.001611,   0.009579,   0.011190,   0.000000,  -0.000000,   0.150587,  -0.000000,  -0.000000,    0.8000,    0.4093
   -2.400,     0.000,  -0.170115,   0.001373,   0.009621,   0.010994,   0.000000,  -0.000000,   0.139034,  -0.000000,   0.000000,    0.8000,    0.4093
   -2.200,     0.000,  -0.155955,   0.001154,   0.009476,   0.010630,   0.000000,  -0.000000,   0.127465,  -0.000000,   0.000000,    0.8000,    0.4093
   -2.000,     0.000,  -0.141790,   0.000954,   0.009513,   0.010467,   0.000000,  -0.000000,   0.115899,  -0.000000,  -0.000000,    0.8000,    0.4093
   -1.800,     0.000,  -0.127622,   0.000773,   0.009447,   0.010219,   0.000000,  -0.000000,   0.104324,  -0.000000,  -0.000000,    0.8000,    0.4093
   -1.600,     0.000,  -0.113450,   0.000611,   0.009403,   0.010013,   0.000000,  -0.000000,   0.092743,   0.000000,  -0.000000,    0.8000,    0.4092
   -1.400,     0.000,  -0.099275,   0.000468,   0.009462,   0.009929,   0.000000,  -0.000000,   0.081162,  -0.000000,  -0.000000,    0.8000,    0.4092
   -1.200,     0.000,  -0.085098,   0.000344,   0.009423,   0.009767,   0.000000,  -0.000000,   0.069574,   0.000000,  -0.000000,    0.8000,    0.4092
   -1.000,     0.000,  -0.070918,   0.000239,   0.009434,   0.009673,   0.000000,  -0.000000,   0.057984,   0.000000,  -0.000000,    0.8000,    0.4092
   -0.800,     0.000,  -0.056737,   0.000153,   0.009333,   0.009486,   0.000000,  -0.000000,   0.046389,  -0.000000,  -0.000000,    0.8000,    0.4092
   -0.600,     0.000,  -0.042554,   0.000086,   0.009383,   0.009469,   0.000000,  -0.000000,   0.034794,  -0.000000,  -0.000000,    0.8000,    0.4092
   -0.400,     0.000,  -0.028370,   0.000038,   0.009339,   0.009377,   0.000000,  -0.000000,   0.023197,   0.000000,  -0.000000,    0.8000,    0.4092
   -0.200,     0.000,  -0.014185,   0.000010,   0.009364,   0.009374,   0.000000,  -0.000000,   0.011599,   0.000000,   0.000000,    0.8000,    0.4092
    0.000,     0.000,   0.000000,   0.000000,   0.009236,   0.009236,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,    0.8000,    0.0000
    0.200,     0.000,   0.014185,   0.000010,   0.009365,   0.009374,   0.000000,   0.000000,  -0.011599,  -0.000000,  -0.000000,    0.8000,    0.4092
