-1.40E-01,-2.42E-01,-3.70E-01,-5.38E-01,-7.33E-01,-9.69E-01,-1.22E+00,-1.52E+00
-1.20E-01,-2.07E-01,-3.22E-01,-4.64E-01,-6.33E-01,-8.31E-01,-1.05E+00,-1.31E+00
-9.47E-02,-1.67E-01,-2.62E-01,-3.82E-01,-5.20E-01,-6.83E-01,-8.57E-01,-1.08E+00
-7.09E-02,-1.26E-01,-1.98E-01,-2.91E-01,-3.89E-01,-5.12E-01,-6.55E-01,-8.14E-01
-4.68E-02,-8.38E-02,-1.32E-01,-1.94E-01,-2.60E-01,-3.41E-01,-4.36E-01,-5.51E-01
-2.24E-02,-4.05E-02,-6.46E-02,-9.44E-02,-1.28E-01,-1.69E-01,-2.15E-01,-2.77E-01
2.26E-03,3.07E-03,3.67E-03,7.46E-03,5.45E-03,5.27E-03,1.20E-02,3.74E-03
2.84E-02,5.00E-02,7.79E-02,1.12E-01,1.47E-01,1.91E-01,2.41E-01,2.97E-01
5.29E-02,9.69E-02,1.51E-01,2.18E-01,2.88E-01,3.77E-01,4.74E-01,5.87E-01
7.88E-02,1.41E-01,2.20E-01,3.19E-01,4.24E-01,5.55E-01,7.04E-01,8.76E-01
1.03E-01,1.85E-01,2.85E-01,4.20E-01,5.59E-01,7.32E-01,9.28E-01,1.15E+00
1.28E-01,2.29E-01,3.54E-01,5.20E-01,6.95E-01,9.10E-01,1.16E+00,1.43E+00
1.52E-01,2.73E-01,4.22E-01,6.19E-01,8.30E-01,1.09E+00,1.38E+00,1.71E+00
1.76E-01,3.16E-01,4.89E-01,7.14E-01,9.63E-01,1.26E+00,1.59E+00,1.98E+00
1.99E-01,3.56E-01,5.54E-01,8.03E-01,1.09E+00,1.43E+00,1.80E+00,2.23E+00
,,,,,,,
,,,,,,,
