xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-1.1 m/s-VLM2
Freestream speed :, 1.1 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -9.200,     0.000,  -0.646558,   0.019779,   0.016278,   0.036057,   0.000000,  -0.000000,   0.525547,  -0.000000,   0.000000,    1.1000,    0.4112
   -9.000,     0.000,  -0.632754,   0.018946,   0.015815,   0.034760,   0.000000,  -0.000000,   0.514428,  -0.000000,   0.000000,    1.1000,    0.4111
   -8.800,     0.000,  -0.618933,   0.018130,   0.015411,   0.033541,   0.000000,  -0.000000,   0.503299,  -0.000000,   0.000000,    1.1000,    0.4110
   -8.600,     0.000,  -0.605097,   0.017330,   0.015052,   0.032382,   0.000000,  -0.000000,   0.492155,  -0.000000,   0.000000,    1.1000,    0.4110
   -8.400,     0.000,  -0.591245,   0.016548,   0.014728,   0.031276,   0.000000,  -0.000000,   0.480995,  -0.000000,  -0.000000,    1.1000,    0.4109
   -8.200,     0.000,  -0.577378,   0.015783,   0.014431,   0.030214,   0.000000,  -0.000000,   0.469818,  -0.000000,   0.000000,    1.1000,    0.4108
   -8.000,     0.000,  -0.563495,   0.015035,   0.014157,   0.029192,   0.000000,  -0.000000,   0.458624,  -0.000000,   0.000000,    1.1000,    0.4107
   -7.800,     0.000,  -0.549598,   0.014304,   0.013901,   0.028205,   0.000000,  -0.000000,   0.447412,  -0.000000,   0.000000,    1.1000,    0.4106
   -7.600,     0.000,  -0.535687,   0.013591,   0.013662,   0.027252,   0.000000,  -0.000000,   0.436182,  -0.000000,  -0.000000,    1.1000,    0.4106
   -7.400,     0.000,  -0.521762,   0.012895,   0.013440,   0.026334,   0.000000,  -0.000000,   0.424935,  -0.000000,   0.000000,    1.1000,    0.4105
   -7.200,     0.000,  -0.507823,   0.012216,   0.013230,   0.025446,   0.000000,  -0.000000,   0.413670,  -0.000000,   0.000000,    1.1000,    0.4104
