xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-0.1 m/s-VLM2
Freestream speed :, 0.1 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -7.000,     0.000,  -0.493871,   0.011555,   0.047822,   0.059377,   0.000000,  -0.000000,   0.406722,  -0.000000,   0.000000,    0.1000,    0.4104
   -6.800,     0.000,  -0.479906,   0.010912,   0.043350,   0.054262,   0.000000,  -0.000000,   0.394699,  -0.000000,   0.000000,    0.1000,    0.4103
   -6.600,     0.000,  -0.465929,   0.010287,   0.038994,   0.049281,   0.000000,  -0.000000,   0.382678,  -0.000000,   0.000000,    0.1000,    0.4102
   -6.400,     0.000,  -0.451939,   0.009679,   0.035498,   0.045177,   0.000000,  -0.000000,   0.370780,  -0.000000,   0.000000,    0.1000,    0.4102
   -6.200,     0.000,  -0.437938,   0.009090,   0.032930,   0.042019,   0.000000,  -0.000000,   0.359015,  -0.000000,   0.000000,    0.1000,    0.4101
   -6.000,     0.000,  -0.423925,   0.008518,   0.031886,   0.040404,   0.000000,  -0.000000,   0.347489,  -0.000000,   0.000000,    0.1000,    0.4101
   -5.800,     0.000,  -0.409902,   0.007964,   0.031049,   0.039013,   0.000000,  -0.000000,   0.335981,  -0.000000,   0.000000,    0.1000,    0.4100
   -5.600,     0.000,  -0.395867,   0.007429,   0.030414,   0.037843,   0.000000,  -0.000000,   0.324481,  -0.000000,   0.000000,    0.1000,    0.4099
   -5.400,     0.000,  -0.381822,   0.006912,   0.029793,   0.036705,   0.000000,  -0.000000,   0.312978,  -0.000000,   0.000000,    0.1000,    0.4099
   -5.200,     0.000,  -0.367768,   0.006413,   0.029300,   0.035712,   0.000000,  -0.000000,   0.301473,  -0.000000,   0.000000,    0.1000,    0.4098
   -5.000,     0.000,  -0.353703,   0.005932,   0.028892,   0.034824,   0.000000,  -0.000000,   0.289963,  -0.000000,   0.000000,    0.1000,    0.4098
   -4.800,     0.000,  -0.339629,   0.005470,   0.028472,   0.033941,   0.000000,  -0.000000,   0.278443,  -0.000000,   0.000000,    0.1000,    0.4097
