xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-0.8 m/s-VLM2
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.600,     0.000,  -0.605097,   0.017330,   0.016828,   0.034158,   0.000000,  -0.000000,   0.492418,  -0.000000,   0.000000,    0.8000,    0.4110
   -8.400,     0.000,  -0.591245,   0.016548,   0.016396,   0.032944,   0.000000,  -0.000000,   0.481232,  -0.000000,  -0.000000,    0.8000,    0.4109
   -8.200,     0.000,  -0.577378,   0.015783,   0.016016,   0.031799,   0.000000,  -0.000000,   0.470036,  -0.000000,   0.000000,    0.8000,    0.4108
   -8.000,     0.000,  -0.563495,   0.015035,   0.015675,   0.030710,   0.000000,  -0.000000,   0.458825,  -0.000000,   0.000000,    0.8000,    0.4107
   -7.800,     0.000,  -0.549598,   0.014304,   0.015364,   0.029668,   0.000000,  -0.000000,   0.447598,  -0.000000,   0.000000,    0.8000,    0.4106
   -7.600,     0.000,  -0.535687,   0.013591,   0.015075,   0.028665,   0.000000,  -0.000000,   0.436356,  -0.000000,  -0.000000,    0.8000,    0.4106
   -7.400,     0.000,  -0.521762,   0.012895,   0.014805,   0.027700,   0.000000,  -0.000000,   0.425097,  -0.000000,   0.000000,    0.8000,    0.4105
   -7.200,     0.000,  -0.507823,   0.012216,   0.014550,   0.026767,   0.000000,  -0.000000,   0.413821,  -0.000000,   0.000000,    0.8000,    0.4104
   -7.000,     0.000,  -0.493871,   0.011555,   0.014307,   0.025862,   0.000000,  -0.000000,   0.402529,  -0.000000,   0.000000,    0.8000,    0.4104
   -6.800,     0.000,  -0.479906,   0.010912,   0.014074,   0.024987,   0.000000,  -0.000000,   0.391221,  -0.000000,   0.000000,    0.8000,    0.4103
   -6.600,     0.000,  -0.465929,   0.010287,   0.013852,   0.024139,   0.000000,  -0.000000,   0.379897,  -0.000000,   0.000000,    0.8000,    0.4102
   -6.400,     0.000,  -0.451939,   0.009679,   0.013640,   0.023319,   0.000000,  -0.000000,   0.368556,  -0.000000,   0.000000,    0.8000,    0.4102
   -6.200,     0.000,  -0.437938,   0.009090,   0.013438,   0.022528,   0.000000,  -0.000000,   0.357201,  -0.000000,   0.000000,    0.8000,    0.4101
   -6.000,     0.000,  -0.423925,   0.008518,   0.013247,   0.021765,   0.000000,  -0.000000,   0.345831,  -0.000000,   0.000000,    0.8000,    0.4101
   -5.800,     0.000,  -0.409902,   0.007964,   0.013064,   0.021028,   0.000000,  -0.000000,   0.334446,  -0.000000,   0.000000,    0.8000,    0.4100
   -5.600,     0.000,  -0.395867,   0.007429,   0.012889,   0.020318,   0.000000,  -0.000000,   0.323047,  -0.000000,   0.000000,    0.8000,    0.4099
   -5.400,     0.000,  -0.381822,   0.006912,   0.012721,   0.019633,   0.000000,  -0.000000,   0.311633,  -0.000000,   0.000000,    0.8000,    0.4099
   -5.200,     0.000,  -0.367768,   0.006413,   0.012559,   0.018972,   0.000000,  -0.000000,   0.300207,  -0.000000,   0.000000,    0.8000,    0.4098
   -5.000,     0.000,  -0.353703,   0.005932,   0.012401,   0.018333,   0.000000,  -0.000000,   0.288767,  -0.000000,   0.000000,    0.8000,    0.4098
   -4.800,     0.000,  -0.339629,   0.005470,   0.012238,   0.017708,   0.000000,  -0.000000,   0.277315,  -0.000000,   0.000000,    0.8000,    0.4097
   -4.600,     0.000,  -0.325547,   0.005026,   0.012061,   0.017087,   0.000000,  -0.000000,   0.265850,  -0.000000,   0.000000,    0.8000,    0.4097
   -4.400,     0.000,  -0.311456,   0.004601,   0.011866,   0.016467,   0.000000,  -0.000000,   0.254373,  -0.000000,   0.000000,    0.8000,    0.4097
   -4.200,     0.000,  -0.297357,   0.004194,   0.011668,   0.015862,   0.000000,  -0.000000,   0.242884,  -0.000000,   0.000000,    0.8000,    0.4096
   -4.000,     0.000,  -0.283250,   0.003805,   0.011474,   0.015280,   0.000000,  -0.000000,   0.231386,  -0.000000,   0.000000,    0.8000,    0.4096
