xflr5 v6.61

Plane name :, Plane Name
Polar name :, T1-1.1 m/s-VLM2
Freestream speed :, 1.1 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.400,     0.000,  -0.591204,   0.016546,   0.016909,   0.033455,   0.000000,  -0.000000,   0.481377,  -0.000000,  -0.000000,    1.1000,    0.4109
   -8.200,     0.000,  -0.577337,   0.015781,   0.015858,   0.031639,   0.000000,  -0.000000,   0.470029,   0.000000,  -0.000000,    1.1000,    0.4108
   -8.000,     0.000,  -0.563454,   0.015033,   0.015679,   0.030712,   0.000000,  -0.000000,   0.458836,  -0.000000,   0.000000,    1.1000,    0.4107
   -7.800,     0.000,  -0.549557,   0.014302,   0.015485,   0.029786,   0.000000,  -0.000000,   0.447631,  -0.000000,  -0.000000,    1.1000,    0.4106
   -7.600,     0.000,  -0.535646,   0.013588,   0.015234,   0.028823,   0.000000,  -0.000000,   0.436402,  -0.000000,  -0.000000,    1.1000,    0.4106
   -7.400,     0.000,  -0.521721,   0.012893,   0.014687,   0.027579,   0.000000,  -0.000000,   0.425103,  -0.000000,  -0.000000,    1.1000,    0.4105
   -7.200,     0.000,  -0.507782,   0.012214,   0.014429,   0.026643,   0.000000,  -0.000000,   0.413838,  -0.000000,   0.000000,    1.1000,    0.4104
   -7.000,     0.000,  -0.493830,   0.011553,   0.013934,   0.025487,   0.000000,  -0.000000,   0.402506,  -0.000000,  -0.000000,    1.1000,    0.4104
   -6.800,     0.000,  -0.479865,   0.010910,   0.013481,   0.024392,   0.000000,  -0.000000,   0.391168,  -0.000000,   0.000000,    1.1000,    0.4103
   -6.600,     0.000,  -0.465888,   0.010285,   0.013179,   0.023464,   0.000000,  -0.000000,   0.379834,  -0.000000,  -0.000000,    1.1000,    0.4102
   -6.400,     0.000,  -0.451898,   0.009677,   0.012828,   0.022506,   0.000000,  -0.000000,   0.368477,  -0.000000,  -0.000000,    1.1000,    0.4102
   -6.200,     0.000,  -0.437897,   0.009088,   0.012515,   0.021603,   0.000000,  -0.000000,   0.357110,  -0.000000,   0.000000,    1.1000,    0.4101
   -6.000,     0.000,  -0.423884,   0.008516,   0.012189,   0.020705,   0.000000,  -0.000000,   0.345727,  -0.000000,  -0.000000,    1.1000,    0.4101
   -5.800,     0.000,  -0.409860,   0.007963,   0.011944,   0.019907,   0.000000,  -0.000000,   0.334339,  -0.000000,  -0.000000,    1.1000,    0.4100
   -5.600,     0.000,  -0.395826,   0.007427,   0.011675,   0.019103,   0.000000,   0.000000,   0.322933,  -0.000000,  -0.000000,    1.1000,    0.4099
   -5.400,     0.000,  -0.381781,   0.006910,   0.011409,   0.018319,   0.000000,  -0.000000,   0.311513,  -0.000000,  -0.000000,    1.1000,    0.4099
   -5.200,     0.000,  -0.367726,   0.006411,   0.011131,   0.017542,   0.000000,  -0.000000,   0.300078,  -0.000000,  -0.000000,    1.1000,    0.4098
   -5.000,     0.000,  -0.353662,   0.005931,   0.010988,   0.016918,   0.000000,   0.000000,   0.288641,  -0.000000,  -0.000000,    1.1000,    0.4098
   -4.800,     0.000,  -0.339588,   0.005468,   0.010753,   0.016221,   0.000000,  -0.000000,   0.277185,  -0.000000,   0.000000,    1.1000,    0.4097
   -4.600,     0.000,  -0.325505,   0.005025,   0.010502,   0.015527,   0.000000,  -0.000000,   0.265717,  -0.000000,  -0.000000,    1.1000,    0.4097
   -4.400,     0.000,  -0.311414,   0.004599,   0.010258,   0.014857,   0.000000,  -0.000000,   0.254237,  -0.000000,  -0.000000,    1.1000,    0.4097
   -4.200,     0.000,  -0.297315,   0.004193,   0.010055,   0.014247,   0.000000,  -0.000000,   0.242751,  -0.000000,  -0.000000,    1.1000,    0.4096
