xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.2 m/s-VLM2
Freestream speed :, 0.2 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.049762,   0.067839,   0.000000,  -0.000000,   0.479931,   0.000001,  -0.000000,    0.2000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.035866,   0.053055,   0.000000,  -0.000000,   0.464736,   0.000001,  -0.000000,    0.2000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.031078,   0.047402,   0.000000,  -0.000000,   0.451815,   0.000000,  -0.000000,    0.2000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.029392,   0.044871,   0.000000,  -0.000000,   0.439544,   0.000000,  -0.000000,    0.2000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.027893,   0.042550,   0.000000,  -0.000000,   0.427305,   0.000000,  -0.000000,    0.2000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.026704,   0.040560,   0.000000,  -0.000000,   0.415109,   0.000000,  -0.000000,    0.2000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.025748,   0.038825,   0.000000,  -0.000000,   0.402938,   0.000000,  -0.000000,    0.2000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.024909,   0.037229,   0.000000,  -0.000000,   0.390768,   0.000000,  -0.000000,    0.2000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.024187,   0.035773,   0.000000,  -0.000000,   0.378601,   0.000000,  -0.000000,    0.2000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.023521,   0.034395,   0.000000,  -0.000000,   0.366422,   0.000000,  -0.000000,    0.2000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.022900,   0.033084,   0.000000,  -0.000000,   0.354229,   0.000000,  -0.000000,    0.2000,    0.5192
