xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.4 m/s-VLM2
Freestream speed :, 0.4 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.034303,   0.052379,   0.000000,  -0.000000,   0.475879,   0.000002,  -0.000000,    0.4000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.032609,   0.049798,   0.000000,  -0.000000,   0.463638,   0.000002,  -0.000000,    0.4000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.031219,   0.047542,   0.000000,  -0.000000,   0.451484,   0.000002,  -0.000000,    0.4000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.027705,   0.043183,   0.000000,  -0.000000,   0.438921,   0.000001,  -0.000000,    0.4000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.024138,   0.038795,   0.000000,  -0.000000,   0.426347,   0.000001,  -0.000000,    0.4000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.021236,   0.035092,   0.000000,  -0.000000,   0.413900,   0.000000,  -0.000000,    0.4000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.020427,   0.033504,   0.000000,  -0.000000,   0.401797,   0.000000,  -0.000000,    0.4000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.019908,   0.032228,   0.000000,  -0.000000,   0.389718,   0.000000,  -0.000000,    0.4000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.019117,   0.030703,   0.000000,  -0.000000,   0.377572,   0.000000,  -0.000000,    0.4000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.018458,   0.029331,   0.000000,  -0.000000,   0.365428,   0.000000,  -0.000000,    0.4000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.017961,   0.028144,   0.000000,  -0.000000,   0.353289,   0.000000,  -0.000000,    0.4000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.017560,   0.027076,   0.000000,  -0.000000,   0.341143,   0.000000,  -0.000000,    0.4000,    0.5188
   -7.600,     0.000,  -0.368284,   0.008871,   0.017228,   0.026098,   0.000000,  -0.000000,   0.328985,   0.000000,  -0.000000,    0.4000,    0.5185
   -7.400,     0.000,  -0.354649,   0.008248,   0.016949,   0.025198,   0.000000,  -0.000000,   0.316813,   0.000000,  -0.000000,    0.4000,    0.5181
   -7.200,     0.000,  -0.341003,   0.007648,   0.016622,   0.024270,   0.000000,  -0.000000,   0.304611,   0.000000,  -0.000000,    0.4000,    0.5177
   -7.000,     0.000,  -0.327345,   0.007071,   0.016242,   0.023314,   0.000000,  -0.000000,   0.292378,   0.000000,  -0.000000,    0.4000,    0.5173
   -6.800,     0.000,  -0.313677,   0.006517,   0.015907,   0.022425,   0.000000,  -0.000000,   0.280131,   0.000000,  -0.000000,    0.4000,    0.5169
   -6.600,     0.000,  -0.299998,   0.005986,   0.015612,   0.021598,   0.000000,  -0.000000,   0.267870,   0.000000,  -0.000000,    0.4000,    0.5165
   -6.400,     0.000,  -0.286309,   0.005478,   0.015344,   0.020822,   0.000000,  -0.000000,   0.255593,  -0.000000,  -0.000000,    0.4000,    0.5160
   -6.200,     0.000,  -0.272610,   0.004993,   0.015101,   0.020093,   0.000000,  -0.000000,   0.243299,  -0.000000,  -0.000000,    0.4000,    0.5154
   -6.000,     0.000,  -0.258903,   0.004531,   0.014870,   0.019400,   0.000000,  -0.000000,   0.230987,  -0.000000,  -0.000000,    0.4000,    0.5149
   -5.800,     0.000,  -0.245186,   0.004092,   0.014616,   0.018708,   0.000000,  -0.000000,   0.218652,  -0.000000,  -0.000000,    0.4000,    0.5142
   -5.600,     0.000,  -0.231461,   0.003676,   0.014291,   0.017967,   0.000000,  -0.000000,   0.206293,  -0.000000,  -0.000000,    0.4000,    0.5136
   -5.400,     0.000,  -0.217728,   0.003284,   0.014127,   0.017411,   0.000000,  -0.000000,   0.193937,  -0.000000,  -0.000000,    0.4000,    0.5128
   -5.200,     0.000,  -0.203987,   0.002915,   0.014011,   0.016927,   0.000000,  -0.000000,   0.181569,  -0.000000,  -0.000000,    0.4000,    0.5120
   -5.000,     0.000,  -0.190239,   0.002570,   0.013909,   0.016479,   0.000000,  -0.000000,   0.169185,  -0.000000,  -0.000000,    0.4000,    0.5110
   -4.800,     0.000,  -0.176485,   0.002248,   0.013817,   0.016065,   0.000000,  -0.000000,   0.156786,  -0.000000,  -0.000000,    0.4000,    0.5099
   -4.600,     0.000,  -0.162724,   0.001950,   0.013736,   0.015686,   0.000000,  -0.000000,   0.144372,  -0.000000,  -0.000000,    0.4000,    0.5086
   -4.400,     0.000,  -0.148957,   0.001675,   0.013665,   0.015340,   0.000000,  -0.000000,   0.131943,  -0.000000,  -0.000000,    0.4000,    0.5071
   -4.200,     0.000,  -0.135185,   0.001424,   0.013594,   0.015018,   0.000000,  -0.000000,   0.119499,  -0.000000,  -0.000000,    0.4000,    0.5054
   -4.000,     0.000,  -0.121407,   0.001197,   0.013527,   0.014723,   0.000000,  -0.000000,   0.107041,  -0.000000,  -0.000000,    0.4000,    0.5032
   -3.800,     0.000,  -0.107625,   0.000993,   0.013460,   0.014453,   0.000000,  -0.000000,   0.094568,  -0.000000,  -0.000000,    0.4000,    0.5005
   -3.600,     0.000,  -0.093839,   0.000813,   0.013396,   0.014210,   0.000000,  -0.000000,   0.082083,  -0.000000,  -0.000000,    0.4000,    0.4970
   -3.400,     0.000,  -0.080048,   0.000657,   0.013337,   0.013994,   0.000000,  -0.000000,   0.069585,  -0.000000,  -0.000000,    0.4000,    0.4924
   -3.200,     0.000,  -0.066255,   0.000525,   0.013286,   0.013811,   0.000000,  -0.000000,   0.057074,  -0.000000,  -0.000000,    0.4000,    0.4858
   -3.000,     0.000,  -0.052458,   0.000416,   0.013244,   0.013660,   0.000000,  -0.000000,   0.044553,  -0.000000,  -0.000000,    0.4000,    0.4757
   -2.800,     0.000,  -0.038659,   0.000332,   0.013198,   0.013530,   0.000000,  -0.000000,   0.032020,  -0.000000,  -0.000000,    0.4000,    0.4586
   -2.600,     0.000,  -0.024857,   0.000271,   0.013151,   0.013422,   0.000000,  -0.000000,   0.019476,  -0.000000,  -0.000000,    0.4000,    0.4223
   -2.400,     0.000,  -0.011054,   0.000234,   0.013109,   0.013343,   0.000000,  -0.000000,   0.006923,  -0.000000,  -0.000000,    0.4000,    0.2957
   -2.200,     0.000,   0.002750,   0.000221,   0.013068,   0.013290,   0.000000,  -0.000000,  -0.005640,  -0.000000,  -0.000000,    0.4000,    1.4398
   -2.000,     0.000,   0.016556,   0.000232,   0.013034,   0.013266,   0.000000,  -0.000000,  -0.018212,  -0.000000,  -0.000000,    0.4000,    0.6758
   -1.800,     0.000,   0.030362,   0.000267,   0.013003,   0.013270,   0.000000,  -0.000000,  -0.030792,  -0.000000,  -0.000000,    0.4000,    0.6066
   -1.600,     0.000,   0.044168,   0.000326,   0.012969,   0.013295,   0.000000,  -0.000000,  -0.043380,  -0.000000,  -0.000000,    0.4000,    0.5807
