xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.6 m/s-VLM2
Freestream speed :, 0.6 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.029378,   0.047454,   0.000000,  -0.000000,   0.475192,   0.000000,  -0.000000,    0.6000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.027432,   0.044621,   0.000000,  -0.000000,   0.462864,   0.000000,  -0.000000,    0.6000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.025074,   0.041397,   0.000000,  -0.000000,   0.450480,   0.000000,  -0.000000,    0.6000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.021161,   0.036640,   0.000000,  -0.000000,   0.437769,   0.000000,  -0.000000,    0.6000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.019437,   0.034094,   0.000000,  -0.000000,   0.425504,   0.000000,  -0.000000,    0.6000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.018422,   0.032277,   0.000000,  -0.000000,   0.413374,   0.000000,  -0.000000,    0.6000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.017729,   0.030806,   0.000000,  -0.000000,   0.401291,   0.000000,  -0.000000,    0.6000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.017191,   0.029511,   0.000000,  -0.000000,   0.389219,   0.000000,  -0.000000,    0.6000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.016758,   0.028343,   0.000000,  -0.000000,   0.377144,   0.000000,  -0.000000,    0.6000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.016339,   0.027212,   0.000000,  -0.000000,   0.365046,   0.000000,  -0.000000,    0.6000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.015958,   0.026141,   0.000000,  -0.000000,   0.352930,   0.000000,  -0.000000,    0.6000,    0.5192
