xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.1 m/s-VLM2
Freestream speed :, 0.1 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.095581,   0.113657,   0.000000,  -0.000000,   0.490221,   0.000003,  -0.000000,    0.1000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.086968,   0.104157,   0.000000,  -0.000000,   0.476028,   0.000003,  -0.000000,    0.1000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.072333,   0.088656,   0.000000,  -0.000000,   0.460679,   0.000002,  -0.000000,    0.1000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.057566,   0.073045,   0.000000,  -0.000000,   0.445757,   0.000001,  -0.000000,    0.1000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.054591,   0.069248,   0.000000,  -0.000000,   0.433072,   0.000000,  -0.000000,    0.1000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.049265,   0.063121,   0.000000,  -0.000000,   0.419787,   0.000000,  -0.000000,    0.1000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.040905,   0.053982,   0.000000,  -0.000000,   0.405946,  -0.000000,  -0.000000,    0.1000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.037342,   0.049662,   0.000000,  -0.000000,   0.393137,  -0.000000,  -0.000000,    0.1000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.035609,   0.047195,   0.000000,  -0.000000,   0.380722,  -0.000000,  -0.000000,    0.1000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.034144,   0.045017,   0.000000,  -0.000000,   0.368342,  -0.000000,  -0.000000,    0.1000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.032947,   0.043130,   0.000000,  -0.000000,   0.356001,  -0.000000,  -0.000000,    0.1000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.031990,   0.041506,   0.000000,  -0.000000,   0.343689,  -0.000000,  -0.000000,    0.1000,    0.5188
