xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.3 m/s-VLM2
Freestream speed :, 0.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.032067,   0.050143,   0.000000,  -0.000000,   0.475771,   0.000000,  -0.000000,    0.3000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.030337,   0.047526,   0.000000,  -0.000000,   0.463518,   0.000000,  -0.000000,    0.3000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.028281,   0.044604,   0.000000,  -0.000000,   0.451198,   0.000000,  -0.000000,    0.3000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.025561,   0.041039,   0.000000,  -0.000000,   0.438683,   0.000000,  -0.000000,    0.3000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.023554,   0.038211,   0.000000,  -0.000000,   0.426353,   0.000000,  -0.000000,    0.3000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.022825,   0.036680,   0.000000,  -0.000000,   0.414272,   0.000000,  -0.000000,    0.3000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.021982,   0.035059,   0.000000,  -0.000000,   0.402147,   0.000000,  -0.000000,    0.3000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.021297,   0.033617,   0.000000,  -0.000000,   0.390032,   0.000000,  -0.000000,    0.3000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.020678,   0.032263,   0.000000,  -0.000000,   0.377905,   0.000000,  -0.000000,    0.3000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.020110,   0.030984,   0.000000,  -0.000000,   0.365765,   0.000000,  -0.000000,    0.3000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.019593,   0.029777,   0.000000,  -0.000000,   0.353613,   0.000000,  -0.000000,    0.3000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.019140,   0.028656,   0.000000,  -0.000000,   0.341449,   0.000000,  -0.000000,    0.3000,    0.5188
   -7.600,     0.000,  -0.368284,   0.008871,   0.018738,   0.027609,   0.000000,  -0.000000,   0.329271,   0.000000,  -0.000000,    0.3000,    0.5185
   -7.400,     0.000,  -0.354649,   0.008248,   0.018368,   0.026616,   0.000000,  -0.000000,   0.317076,   0.000000,  -0.000000,    0.3000,    0.5181
   -7.200,     0.000,  -0.341003,   0.007648,   0.017998,   0.025646,   0.000000,  -0.000000,   0.304858,   0.000000,  -0.000000,    0.3000,    0.5177
   -7.000,     0.000,  -0.327345,   0.007071,   0.017666,   0.024738,   0.000000,  -0.000000,   0.292624,  -0.000000,  -0.000000,    0.3000,    0.5173
   -6.800,     0.000,  -0.313677,   0.006517,   0.017388,   0.023906,   0.000000,  -0.000000,   0.280380,  -0.000000,  -0.000000,    0.3000,    0.5169
   -6.600,     0.000,  -0.299998,   0.005986,   0.017113,   0.023099,   0.000000,  -0.000000,   0.268115,  -0.000000,  -0.000000,    0.3000,    0.5165
   -6.400,     0.000,  -0.286309,   0.005478,   0.016821,   0.022299,   0.000000,  -0.000000,   0.255827,  -0.000000,  -0.000000,    0.3000,    0.5160
   -6.200,     0.000,  -0.272610,   0.004993,   0.016573,   0.021565,   0.000000,  -0.000000,   0.243525,  -0.000000,  -0.000000,    0.3000,    0.5154
   -6.000,     0.000,  -0.258903,   0.004531,   0.016338,   0.020869,   0.000000,  -0.000000,   0.231206,  -0.000000,  -0.000000,    0.3000,    0.5149
   -5.800,     0.000,  -0.245186,   0.004092,   0.016117,   0.020209,   0.000000,  -0.000000,   0.218872,  -0.000000,  -0.000000,    0.3000,    0.5142
   -5.600,     0.000,  -0.231461,   0.003676,   0.015916,   0.019592,   0.000000,  -0.000000,   0.206524,  -0.000000,  -0.000000,    0.3000,    0.5136
   -5.400,     0.000,  -0.217728,   0.003284,   0.015764,   0.019048,   0.000000,  -0.000000,   0.194165,  -0.000000,  -0.000000,    0.3000,    0.5128
   -5.200,     0.000,  -0.203987,   0.002915,   0.015642,   0.018557,   0.000000,  -0.000000,   0.181791,  -0.000000,  -0.000000,    0.3000,    0.5120
   -5.000,     0.000,  -0.190239,   0.002570,   0.015543,   0.018113,   0.000000,  -0.000000,   0.169403,  -0.000000,  -0.000000,    0.3000,    0.5110
   -4.800,     0.000,  -0.176485,   0.002248,   0.015456,   0.017704,   0.000000,  -0.000000,   0.157000,  -0.000000,  -0.000000,    0.3000,    0.5099
   -4.600,     0.000,  -0.162724,   0.001950,   0.015372,   0.017322,   0.000000,  -0.000000,   0.144580,  -0.000000,  -0.000000,    0.3000,    0.5086
   -4.400,     0.000,  -0.148957,   0.001675,   0.015297,   0.016973,   0.000000,  -0.000000,   0.132146,  -0.000000,  -0.000000,    0.3000,    0.5071
   -4.200,     0.000,  -0.135185,   0.001424,   0.015226,   0.016650,   0.000000,  -0.000000,   0.119696,  -0.000000,  -0.000000,    0.3000,    0.5054
   -4.000,     0.000,  -0.121407,   0.001197,   0.015156,   0.016352,   0.000000,  -0.000000,   0.107232,  -0.000000,  -0.000000,    0.3000,    0.5032
   -3.800,     0.000,  -0.107625,   0.000993,   0.015089,   0.016082,   0.000000,  -0.000000,   0.094754,  -0.000000,  -0.000000,    0.3000,    0.5005
   -3.600,     0.000,  -0.093839,   0.000813,   0.015027,   0.015841,   0.000000,  -0.000000,   0.082263,  -0.000000,  -0.000000,    0.3000,    0.4970
   -3.400,     0.000,  -0.080048,   0.000657,   0.014972,   0.015629,   0.000000,  -0.000000,   0.069760,  -0.000000,  -0.000000,    0.3000,    0.4924
   -3.200,     0.000,  -0.066255,   0.000525,   0.014916,   0.015441,   0.000000,  -0.000000,   0.057244,  -0.000000,  -0.000000,    0.3000,    0.4858
   -3.000,     0.000,  -0.052458,   0.000416,   0.014857,   0.015274,   0.000000,  -0.000000,   0.044716,  -0.000000,  -0.000000,    0.3000,    0.4757
   -2.800,     0.000,  -0.038659,   0.000332,   0.014802,   0.015134,   0.000000,  -0.000000,   0.032177,  -0.000000,  -0.000000,    0.3000,    0.4586
   -2.600,     0.000,  -0.024857,   0.000271,   0.014748,   0.015019,   0.000000,  -0.000000,   0.019627,  -0.000000,  -0.000000,    0.3000,    0.4223
   -2.400,     0.000,  -0.011054,   0.000234,   0.014695,   0.014929,   0.000000,  -0.000000,   0.007067,  -0.000000,  -0.000000,    0.3000,    0.2957
   -2.200,     0.000,   0.002750,   0.000221,   0.014643,   0.014864,   0.000000,  -0.000000,  -0.005502,  -0.000000,  -0.000000,    0.3000,    1.4398
   -2.000,     0.000,   0.016556,   0.000232,   0.014592,   0.014824,   0.000000,  -0.000000,  -0.018080,  -0.000000,  -0.000000,    0.3000,    0.6758
   -1.800,     0.000,   0.030362,   0.000267,   0.014540,   0.014807,   0.000000,  -0.000000,  -0.030666,  -0.000000,  -0.000000,    0.3000,    0.6066
   -1.600,     0.000,   0.044168,   0.000326,   0.014493,   0.014819,   0.000000,  -0.000000,  -0.043259,  -0.000000,  -0.000000,    0.3000,    0.5807
   -1.400,     0.000,   0.057973,   0.000409,   0.014449,   0.014858,   0.000000,  -0.000000,  -0.055859,  -0.000000,  -0.000000,    0.3000,    0.5671
   -1.200,     0.000,   0.071778,   0.000516,   0.014412,   0.014928,   0.000000,  -0.000000,  -0.068465,  -0.000000,  -0.000000,    0.3000,    0.5587
   -1.000,     0.000,   0.085582,   0.000646,   0.014384,   0.015030,   0.000000,  -0.000000,  -0.081075,  -0.000000,  -0.000000,    0.3000,    0.5530
   -0.800,     0.000,   0.099384,   0.000801,   0.014366,   0.015167,   0.000000,  -0.000000,  -0.093690,  -0.000000,  -0.000000,    0.3000,    0.5490
   -0.600,     0.000,   0.113184,   0.000980,   0.014362,   0.015342,  -0.000000,  -0.000000,  -0.106309,  -0.000000,  -0.000000,    0.3000,    0.5459
   -0.400,     0.000,   0.126982,   0.001182,   0.014366,   0.015548,  -0.000000,  -0.000000,  -0.118931,  -0.000000,  -0.000000,    0.3000,    0.5435
   -0.200,     0.000,   0.140777,   0.001408,   0.014381,   0.015789,  -0.000000,  -0.000000,  -0.131557,  -0.000000,  -0.000000,    0.3000,    0.5415
    0.000,     0.000,   0.154569,   0.001659,   0.014401,   0.016059,  -0.000000,  -0.000000,  -0.144185,  -0.000000,  -0.000000,    0.3000,    0.5399
    0.200,     0.000,   0.168357,   0.001933,   0.014426,   0.016358,  -0.000000,  -0.000000,  -0.156816,  -0.000000,  -0.000000,    0.3000,    0.5386
    0.400,     0.000,   0.182140,   0.002231,   0.014455,   0.016686,  -0.000000,  -0.000000,  -0.169448,  -0.000000,  -0.000000,    0.3000,    0.5375
    0.600,     0.000,   0.195920,   0.002553,   0.014492,   0.017045,  -0.000000,  -0.000000,  -0.182081,  -0.000000,  -0.000000,    0.3000,    0.5366
    0.800,     0.000,   0.209694,   0.002898,   0.014542,   0.017440,  -0.000000,  -0.000000,  -0.194715,  -0.000000,  -0.000000,    0.3000,    0.5357
    1.000,     0.000,   0.223463,   0.003267,   0.014600,   0.017867,  -0.000000,  -0.000000,  -0.207348,  -0.000000,  -0.000000,    0.3000,    0.5350
    1.200,     0.000,   0.237226,   0.003660,   0.014658,   0.018318,  -0.000000,  -0.000000,  -0.219982,  -0.000000,  -0.000000,    0.3000,    0.5344
