xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-0.8 m/s-VLM2
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.033443,   0.051519,   0.000000,  -0.000000,   0.475539,   0.000003,  -0.000000,    0.8000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.027941,   0.045130,   0.000000,  -0.000000,   0.462573,   0.000002,  -0.000000,    0.8000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.019996,   0.036319,   0.000000,  -0.000000,   0.449233,   0.000001,  -0.000000,    0.8000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.019172,   0.034651,   0.000000,  -0.000000,   0.437207,   0.000001,  -0.000000,    0.8000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.018361,   0.033017,   0.000000,  -0.000000,   0.425162,   0.000000,  -0.000000,    0.8000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.017600,   0.031456,   0.000000,  -0.000000,   0.413106,   0.000000,  -0.000000,    0.8000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.017029,   0.030106,   0.000000,  -0.000000,   0.401061,   0.000000,  -0.000000,    0.8000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.016607,   0.028928,   0.000000,  -0.000000,   0.389018,   0.000000,  -0.000000,    0.8000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.016240,   0.027825,   0.000000,  -0.000000,   0.376960,   0.000000,  -0.000000,    0.8000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.015829,   0.026703,   0.000000,  -0.000000,   0.364869,   0.000000,  -0.000000,    0.8000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.015383,   0.025566,   0.000000,  -0.000000,   0.352750,   0.000000,  -0.000000,    0.8000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.015012,   0.024528,   0.000000,  -0.000000,   0.340620,   0.000000,  -0.000000,    0.8000,    0.5188
   -7.600,     0.000,  -0.368284,   0.008871,   0.014682,   0.023553,   0.000000,  -0.000000,   0.328475,   0.000000,  -0.000000,    0.8000,    0.5185
   -7.400,     0.000,  -0.354649,   0.008248,   0.014364,   0.022612,   0.000000,  -0.000000,   0.316309,   0.000000,  -0.000000,    0.8000,    0.5181
   -7.200,     0.000,  -0.341003,   0.007648,   0.014072,   0.021721,   0.000000,  -0.000000,   0.304125,   0.000000,  -0.000000,    0.8000,    0.5177
