xflr5 v6.61

Plane name :, Blended Wing
Polar name :, T1-1.0 m/s-VLM2
Freestream speed :, 1.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.530843,   0.018076,   0.037199,   0.055275,   0.000000,  -0.000000,   0.476473,   0.000003,  -0.000000,    1.0000,    0.5221
   -9.800,     0.000,  -0.517380,   0.017189,   0.031680,   0.048869,   0.000000,  -0.000000,   0.463357,   0.000002,  -0.000000,    1.0000,    0.5218
   -9.600,     0.000,  -0.503900,   0.016323,   0.025958,   0.042281,   0.000000,  -0.000000,   0.450323,   0.000002,  -0.000000,    1.0000,    0.5215
   -9.400,     0.000,  -0.490404,   0.015479,   0.018305,   0.033784,   0.000000,  -0.000000,   0.437048,   0.000000,  -0.000000,    1.0000,    0.5213
   -9.200,     0.000,  -0.476893,   0.014656,   0.017431,   0.032088,   0.000000,  -0.000000,   0.424989,   0.000000,  -0.000000,    1.0000,    0.5210
   -9.000,     0.000,  -0.463366,   0.013856,   0.016815,   0.030671,   0.000000,  -0.000000,   0.412959,   0.000000,  -0.000000,    1.0000,    0.5207
   -8.800,     0.000,  -0.449824,   0.013077,   0.016325,   0.029402,   0.000000,  -0.000000,   0.400931,   0.000000,  -0.000000,    1.0000,    0.5204
   -8.600,     0.000,  -0.436268,   0.012320,   0.015884,   0.028204,   0.000000,  -0.000000,   0.388886,   0.000000,  -0.000000,    1.0000,    0.5201
   -8.400,     0.000,  -0.422698,   0.011586,   0.015449,   0.027034,   0.000000,  -0.000000,   0.376814,   0.000000,  -0.000000,    1.0000,    0.5198
   -8.200,     0.000,  -0.409114,   0.010873,   0.015061,   0.025934,   0.000000,  -0.000000,   0.364726,   0.000000,  -0.000000,    1.0000,    0.5195
   -8.000,     0.000,  -0.395517,   0.010183,   0.014715,   0.024898,   0.000000,  -0.000000,   0.352623,   0.000000,  -0.000000,    1.0000,    0.5192
   -7.800,     0.000,  -0.381907,   0.009516,   0.014385,   0.023901,   0.000000,  -0.000000,   0.340500,   0.000000,  -0.000000,    1.0000,    0.5188
   -7.600,     0.000,  -0.368284,   0.008871,   0.014075,   0.022946,   0.000000,  -0.000000,   0.328358,   0.000000,  -0.000000,    1.0000,    0.5185
   -7.400,     0.000,  -0.354649,   0.008248,   0.013785,   0.022033,   0.000000,  -0.000000,   0.316196,   0.000000,  -0.000000,    1.0000,    0.5181
   -7.200,     0.000,  -0.341003,   0.007648,   0.013455,   0.021104,   0.000000,  -0.000000,   0.304003,   0.000000,  -0.000000,    1.0000,    0.5177
   -7.000,     0.000,  -0.327345,   0.007071,   0.013138,   0.020209,   0.000000,  -0.000000,   0.291792,   0.000000,  -0.000000,    1.0000,    0.5173
   -6.800,     0.000,  -0.313677,   0.006517,   0.012870,   0.019387,   0.000000,  -0.000000,   0.279569,   0.000000,  -0.000000,    1.0000,    0.5169
   -6.600,     0.000,  -0.299998,   0.005986,   0.012653,   0.018639,   0.000000,  -0.000000,   0.267333,   0.000000,  -0.000000,    1.0000,    0.5165
   -6.400,     0.000,  -0.286309,   0.005478,   0.012435,   0.017913,   0.000000,  -0.000000,   0.255077,   0.000000,  -0.000000,    1.0000,    0.5160
   -6.200,     0.000,  -0.272610,   0.004993,   0.012131,   0.017123,   0.000000,  -0.000000,   0.242784,   0.000000,  -0.000000,    1.0000,    0.5154
   -6.000,     0.000,  -0.258903,   0.004531,   0.011851,   0.016382,   0.000000,  -0.000000,   0.230477,  -0.000000,  -0.000000,    1.0000,    0.5149
   -5.800,     0.000,  -0.245186,   0.004092,   0.011604,   0.015696,   0.000000,  -0.000000,   0.218157,  -0.000000,  -0.000000,    1.0000,    0.5142
   -5.600,     0.000,  -0.231461,   0.003676,   0.011394,   0.015070,   0.000000,  -0.000000,   0.205824,  -0.000000,  -0.000000,    1.0000,    0.5136
   -5.400,     0.000,  -0.217728,   0.003284,   0.011218,   0.014502,   0.000000,  -0.000000,   0.193477,  -0.000000,  -0.000000,    1.0000,    0.5128
   -5.200,     0.000,  -0.203987,   0.002915,   0.011055,   0.013970,   0.000000,  -0.000000,   0.181114,  -0.000000,  -0.000000,    1.0000,    0.5120
   -5.000,     0.000,  -0.190239,   0.002570,   0.010904,   0.013474,   0.000000,  -0.000000,   0.168736,  -0.000000,  -0.000000,    1.0000,    0.5110
   -4.800,     0.000,  -0.176485,   0.002248,   0.010765,   0.013013,   0.000000,  -0.000000,   0.156343,  -0.000000,  -0.000000,    1.0000,    0.5099
   -4.600,     0.000,  -0.162724,   0.001950,   0.010647,   0.012597,   0.000000,  -0.000000,   0.143935,  -0.000000,  -0.000000,    1.0000,    0.5086
   -4.400,     0.000,  -0.148957,   0.001675,   0.010553,   0.012228,   0.000000,  -0.000000,   0.131515,  -0.000000,  -0.000000,    1.0000,    0.5071
   -4.200,     0.000,  -0.135185,   0.001424,   0.010478,   0.011902,   0.000000,  -0.000000,   0.119081,  -0.000000,  -0.000000,    1.0000,    0.5054
   -4.000,     0.000,  -0.121407,   0.001197,   0.010416,   0.011613,   0.000000,  -0.000000,   0.106634,  -0.000000,  -0.000000,    1.0000,    0.5032
   -3.800,     0.000,  -0.107625,   0.000993,   0.010360,   0.011353,   0.000000,  -0.000000,   0.094174,  -0.000000,  -0.000000,    1.0000,    0.5005
   -3.600,     0.000,  -0.093839,   0.000813,   0.010304,   0.011117,   0.000000,  -0.000000,   0.081699,  -0.000000,  -0.000000,    1.0000,    0.4970
   -3.400,     0.000,  -0.080048,   0.000657,   0.010243,   0.010900,   0.000000,  -0.000000,   0.069211,  -0.000000,  -0.000000,    1.0000,    0.4924
   -3.200,     0.000,  -0.066255,   0.000525,   0.010188,   0.010713,   0.000000,  -0.000000,   0.056710,  -0.000000,  -0.000000,    1.0000,    0.4858
   -3.000,     0.000,  -0.052458,   0.000416,   0.010141,   0.010558,   0.000000,  -0.000000,   0.044200,  -0.000000,  -0.000000,    1.0000,    0.4757
   -2.800,     0.000,  -0.038659,   0.000332,   0.010098,   0.010429,   0.000000,  -0.000000,   0.031678,  -0.000000,  -0.000000,    1.0000,    0.4586
   -2.600,     0.000,  -0.024857,   0.000271,   0.010063,   0.010334,   0.000000,  -0.000000,   0.019147,  -0.000000,  -0.000000,    1.0000,    0.4223
   -2.400,     0.000,  -0.011054,   0.000234,   0.010037,   0.010271,   0.000000,  -0.000000,   0.006606,  -0.000000,  -0.000000,    1.0000,    0.2957
   -2.200,     0.000,   0.002750,   0.000221,   0.010018,   0.010239,   0.000000,  -0.000000,  -0.005943,  -0.000000,  -0.000000,    1.0000,    1.4398
   -2.000,     0.000,   0.016556,   0.000232,   0.009992,   0.010224,   0.000000,  -0.000000,  -0.018503,  -0.000000,  -0.000000,    1.0000,    0.6758
   -1.800,     0.000,   0.030362,   0.000267,   0.009973,   0.010240,   0.000000,  -0.000000,  -0.031071,  -0.000000,  -0.000000,    1.0000,    0.6066
   -1.600,     0.000,   0.044168,   0.000326,   0.009956,   0.010282,   0.000000,  -0.000000,  -0.043646,  -0.000000,  -0.000000,    1.0000,    0.5807
   -1.400,     0.000,   0.057973,   0.000409,   0.009945,   0.010354,   0.000000,  -0.000000,  -0.056228,  -0.000000,  -0.000000,    1.0000,    0.5671
   -1.200,     0.000,   0.071778,   0.000516,   0.009944,   0.010460,   0.000000,  -0.000000,  -0.068816,  -0.000000,  -0.000000,    1.0000,    0.5587
   -1.000,     0.000,   0.085582,   0.000646,   0.009941,   0.010587,   0.000000,  -0.000000,  -0.081411,  -0.000000,  -0.000000,    1.0000,    0.5530
   -0.800,     0.000,   0.099384,   0.000801,   0.009934,   0.010735,   0.000000,  -0.000000,  -0.094011,  -0.000000,  -0.000000,    1.0000,    0.5490
   -0.600,     0.000,   0.113184,   0.000980,   0.009928,   0.010908,  -0.000000,  -0.000000,  -0.106616,  -0.000000,  -0.000000,    1.0000,    0.5459
   -0.400,     0.000,   0.126982,   0.001182,   0.009925,   0.011107,  -0.000000,  -0.000000,  -0.119225,  -0.000000,  -0.000000,    1.0000,    0.5435
   -0.200,     0.000,   0.140777,   0.001408,   0.009928,   0.011336,  -0.000000,  -0.000000,  -0.131838,  -0.000000,  -0.000000,    1.0000,    0.5415
    0.000,     0.000,   0.154569,   0.001659,   0.009924,   0.011583,  -0.000000,  -0.000000,  -0.144454,  -0.000000,  -0.000000,    1.0000,    0.5399
    0.200,     0.000,   0.168357,   0.001933,   0.009920,   0.011852,  -0.000000,  -0.000000,  -0.157072,  -0.000000,  -0.000000,    1.0000,    0.5386
    0.400,     0.000,   0.182140,   0.002231,   0.009909,   0.012140,  -0.000000,  -0.000000,  -0.169693,  -0.000000,  -0.000000,    1.0000,    0.5375
    0.600,     0.000,   0.195920,   0.002553,   0.009900,   0.012452,  -0.000000,  -0.000000,  -0.182315,  -0.000000,  -0.000000,    1.0000,    0.5366
    0.800,     0.000,   0.209694,   0.002898,   0.009892,   0.012790,  -0.000000,  -0.000000,  -0.194937,  -0.000000,  -0.000000,    1.0000,    0.5357
    1.000,     0.000,   0.223463,   0.003267,   0.009886,   0.013154,  -0.000000,  -0.000000,  -0.207559,  -0.000000,  -0.000000,    1.0000,    0.5350
    1.200,     0.000,   0.237226,   0.003660,   0.009879,   0.013539,  -0.000000,  -0.000000,  -0.220180,  -0.000000,  -0.000000,    1.0000,    0.5344
    1.400,     0.000,   0.250983,   0.004077,   0.009879,   0.013956,  -0.000000,  -0.000000,  -0.232800,  -0.000000,  -0.000000,    1.0000,    0.5339
    1.600,     0.000,   0.264734,   0.004517,   0.009890,   0.014407,  -0.000000,  -0.000000,  -0.245417,  -0.000000,  -0.000000,    1.0000,    0.5334
    1.800,     0.000,   0.278477,   0.004981,   0.009912,   0.014893,  -0.000000,  -0.000000,  -0.258032,  -0.000000,  -0.000000,    1.0000,    0.5330
    2.000,     0.000,   0.292213,   0.005469,   0.009943,   0.015412,  -0.000000,  -0.000000,  -0.270643,  -0.000000,  -0.000000,    1.0000,    0.5326
    2.200,     0.000,   0.305941,   0.005980,   0.009974,   0.015954,  -0.000000,  -0.000000,  -0.283251,  -0.000000,  -0.000000,    1.0000,    0.5322
    2.400,     0.000,   0.319661,   0.006514,   0.010012,   0.016526,  -0.000000,  -0.000000,  -0.295854,  -0.000000,  -0.000000,    1.0000,    0.5319
    2.600,     0.000,   0.333372,   0.007072,   0.010058,   0.017130,  -0.000000,  -0.000000,  -0.308453,  -0.000000,  -0.000000,    1.0000,    0.5317
    2.800,     0.000,   0.347074,   0.007653,   0.010112,   0.017765,  -0.000000,  -0.000000,  -0.321047,  -0.000000,  -0.000000,    1.0000,    0.5314
    3.000,     0.000,   0.360767,   0.008257,   0.010169,   0.018426,  -0.000000,  -0.000000,  -0.333634,  -0.000000,  -0.000000,    1.0000,    0.5312
    3.200,     0.000,   0.374449,   0.008885,   0.010226,   0.019111,  -0.000000,  -0.000000,  -0.346215,  -0.000000,  -0.000000,    1.0000,    0.5310
    3.400,     0.000,   0.388122,   0.009535,   0.010291,   0.019826,  -0.000000,  -0.000000,  -0.358790,  -0.000000,  -0.000000,    1.0000,    0.5308
    3.600,     0.000,   0.401783,   0.010209,   0.010368,   0.020577,  -0.000000,  -0.000000,  -0.371356,  -0.000000,  -0.000000,    1.0000,    0.5307
    3.800,     0.000,   0.415434,   0.010906,   0.010454,   0.021360,  -0.000000,  -0.000000,  -0.383915,  -0.000000,  -0.000000,    1.0000,    0.5306
    4.000,     0.000,   0.429073,   0.011625,   0.010535,   0.022161,  -0.000000,  -0.000000,  -0.396465,  -0.000000,  -0.000000,    1.0000,    0.5304
    4.200,     0.000,   0.442700,   0.012368,   0.010620,   0.022988,  -0.000000,  -0.000000,  -0.409006,  -0.000000,  -0.000000,    1.0000,    0.5303
    4.400,     0.000,   0.456314,   0.013133,   0.010709,   0.023842,  -0.000000,  -0.000000,  -0.421537,  -0.000000,  -0.000000,    1.0000,    0.5303
    4.600,     0.000,   0.469916,   0.013921,   0.010805,   0.024726,  -0.000000,  -0.000000,  -0.434058,  -0.000000,  -0.000000,    1.0000,    0.5302
    4.800,     0.000,   0.483505,   0.014732,   0.010900,   0.025632,  -0.000000,  -0.000000,  -0.446568,  -0.000000,  -0.000000,    1.0000,    0.5301
    5.000,     0.000,   0.497080,   0.015565,   0.011001,   0.026565,  -0.000000,  -0.000000,  -0.459067,  -0.000000,  -0.000000,    1.0000,    0.5301
    5.200,     0.000,   0.510641,   0.016420,   0.011109,   0.027529,  -0.000000,  -0.000000,  -0.471553,  -0.000000,  -0.000000,    1.0000,    0.5300
